iter	Passed	Remaining
572	859	640
573	860	638
574	861	636
575	863	635
576	864	633
577	865	631
578	866	630
579	867	628
580	868	626
581	869	624
582	871	623
583	872	621
584	873	619
585	874	617
586	875	615
587	876	614
588	877	612
589	878	610
590	879	608
591	881	607
592	882	605
593	887	606
594	890	605
595	891	604
596	892	602
597	893	600
598	894	598
599	895	597
600	896	595
601	897	593
602	898	591
603	899	589
604	900	588
605	901	586
606	902	584
607	903	582
608	904	580
609	905	579
610	907	577
611	908	575
612	909	574
613	910	572
614	911	570
615	912	568
616	913	567
617	914	565
618	916	563
619	917	562
620	918	560
621	919	558
622	920	556
623	921	555
624	922	553
625	923	551
626	924	550
627	925	548
628	926	546
629	927	544
630	928	543
631	929	541
632	930	539
633	931	537
634	932	536
635	933	534
636	934	532
637	935	530
638	937	529
639	938	527
640	939	526
641	940	524
642	941	522
643	942	521
644	943	519
645	944	517
646	945	515
647	946	514
648	947	512
649	948	510
650	949	509
651	950	507
652	951	505
653	953	504
654	954	502
655	955	500
656	956	499
657	957	497
658	958	495
659	959	494
660	960	492
661	961	490
662	962	489
663	963	487
664	964	485
665	965	484
666	966	482
667	967	480
668	968	479
669	969	477
670	970	476
671	971	474
672	972	472
673	973	471
674	974	469
675	975	467
676	976	466
677	978	464
678	979	462
679	979	461
680	980	459
681	982	458
682	983	456
683	984	454
684	985	453
685	986	451
686	987	449
687	988	448
688	989	446
689	990	445
690	991	443
691	992	441
692	993	440
693	994	438
694	995	436
695	997	435
696	998	434
697	999	432
698	1000	430
699	1001	429
700	1002	427
701	1003	426
702	1005	424
703	1006	423
704	1007	421
705	1008	419
706	1009	418
707	1010	416
708	1011	415
709	1012	413
710	1013	411
711	1014	410
712	1015	408
713	1016	407
714	1017	405
715	1018	404
716	1019	402
717	1020	400
718	1021	399
719	1022	397
720	1024	396
721	1025	394
722	1026	393
723	1027	391
724	1028	390
725	1029	388
726	1030	387
727	1031	385
728	1032	383
729	1033	382
730	1034	380
731	1036	379
732	1036	377
733	1038	376
734	1039	374
735	1040	373
736	1041	371
737	1042	370
738	1043	368
739	1044	366
740	1045	365
741	1046	363
742	1047	362
743	1048	360
744	1049	359
745	1050	357
746	1051	356
747	1054	355
748	1056	353
749	1057	352
750	1058	350
751	1059	349
752	1060	347
753	1061	346
754	1062	344
755	1063	343
756	1064	341
757	1065	340
758	1066	338
759	1067	337
760	1068	335
761	1069	334
762	1070	332
763	1071	331
764	1073	329
765	1074	328
766	1075	326
767	1077	325
768	1078	323
769	1079	322
770	1080	320
771	1081	319
772	1083	318
773	1084	316
774	1085	315
775	1086	313
776	1087	312
777	1088	310
778	1090	309
779	1091	307
780	1093	306
781	1094	305
782	1095	303
783	1096	302
784	1097	300
785	1098	299
786	1107	299
787	1109	298
788	1110	296
789	1111	295
790	1113	294
791	1114	292
792	1115	291
793	1116	289
794	1117	288
795	1118	286
796	1119	285
797	1120	283
798	1121	282
799	1124	281
800	1125	279
801	1127	278
802	1128	276
803	1130	275
804	1131	274
805	1132	272
806	1133	271
807	1134	269
808	1135	268
809	1137	266
810	1138	265
811	1140	264
812	1141	262
813	1143	261
814	1144	259
815	1146	258
816	1147	256
817	1148	255
818	1149	254
819	1150	252
820	1152	251
821	1154	249
822	1155	248
823	1156	247
824	1158	245
825	1159	244
826	1160	242
827	1161	241
828	1163	239
829	1164	238
830	1165	237
831	1166	235
832	1168	234
833	1169	232
834	1171	231
835	1172	229
836	1173	228
837	1174	227
838	1175	225
839	1176	224
840	1177	222
841	1178	221
842	1180	219
843	1181	218
844	1182	216
845	1184	215
846	1185	214
847	1186	212
848	1187	211
849	1188	209
850	1189	208
851	1190	206
852	1191	205
853	1192	203
854	1194	202
855	1195	201
856	1196	199
857	1198	198
858	1199	196
859	1200	195
860	1201	193
861	1202	192
862	1203	191
863	1205	189
864	1206	188
865	1207	186
866	1208	185
867	1209	183
868	1210	182
869	1212	181
870	1213	179
871	1215	178
872	1216	177
873	1218	175
874	1220	174
875	1221	172
876	1223	171
877	1224	170
878	1225	168
879	1227	167
880	1228	165
881	1229	164
882	1230	163
883	1231	161
884	1232	160
885	1234	158
886	1235	157
887	1236	155
888	1237	154
889	1239	153
890	1240	151
891	1241	150
892	1243	148
893	1244	147
894	1246	146
895	1248	144
896	1250	143
897	1252	142
898	1254	140
899	1257	139
900	1258	138
901	1260	136
902	1261	135
903	1262	134
904	1264	132
905	1265	131
906	1266	129
907	1267	128
908	1268	127
909	1270	125
910	1271	124
911	1273	122
912	1274	121
913	1275	120
914	1276	118
915	1278	117
916	1279	115
917	1280	114
918	1281	112
919	1283	111
920	1284	110
921	1285	108
922	1287	107
923	1288	105
924	1289	104
925	1291	103
926	1292	101
927	1294	100
928	1295	98
929	1296	97
930	1297	96
931	1298	94
932	1299	93
933	1300	91
934	1302	90
935	1303	89
936	1304	87
937	1305	86
938	1307	84
939	1309	83
940	1310	82
941	1312	80
942	1313	79
943	1315	78
944	1316	76
945	1317	75
946	1318	73
947	1320	72
948	1324	71
949	1328	69
950	1329	68
951	1330	67
952	1331	65
953	1332	64
954	1333	62
955	1334	61
956	1336	60
957	1337	58
958	1338	57
959	1339	55
960	1340	54
961	1341	52
962	1342	51
963	1343	50
964	1345	48
965	1346	47
966	1347	45
967	1348	44
968	1349	43
969	1351	41
970	1352	40
971	1353	38
972	1354	37
973	1355	36
974	1356	34
975	1357	33
976	1358	31
977	1359	30
978	1360	29
979	1361	27
980	1362	26
981	1363	25
982	1365	23
983	1366	22
984	1367	20
985	1368	19
986	1369	18
987	1370	16
988	1371	15
989	1372	13
990	1373	12
991	1374	11
992	1375	9
993	1376	8
994	1377	6
995	1378	5
996	1379	4
997	1380	2
998	1381	1
999	1382	0
